Value,BST Depth,AVL Depth,Splay Depth
1,0,6,99
2,1,5,50
3,2,6,26
4,3,4,13
5,4,6,9
6,5,5,4
7,6,6,4
8,7,3,2
9,8,6,4
10,9,5,2
11,10,6,3
12,11,4,1
13,12,6,7
14,13,5,3
15,14,6,3
16,15,2,1
17,16,6,3
18,17,5,1
19,18,6,2
20,19,4,1
21,20,6,5
22,21,5,2
23,22,6,3
24,23,3,1
25,24,6,3
26,25,5,1
27,26,6,2
28,27,4,1
29,28,6,5
30,29,5,2
31,30,6,3
32,31,1,1
33,32,6,3
34,33,5,1
35,34,6,2
36,35,4,1
37,36,6,4
38,37,5,2
39,38,6,3
40,39,3,1
41,40,6,3
42,41,5,1
43,42,6,2
44,43,4,1
45,44,6,6
46,45,5,3
47,46,6,3
48,47,2,1
49,48,6,3
50,49,5,1
51,50,6,2
52,51,4,1
53,52,6,5
54,53,5,2
55,54,6,3
56,55,3,1
57,56,6,3
58,57,5,1
59,58,6,2
60,59,4,1
61,60,6,5
62,61,5,2
63,62,6,3
64,63,0,1
65,64,5,3
66,65,4,1
67,66,5,2
68,67,3,1
69,68,5,4
70,69,4,2
71,70,5,3
72,71,2,1
73,72,5,3
74,73,4,1
75,74,5,2
76,75,3,1
77,76,5,5
78,77,4,2
79,78,5,3
80,79,1,1
81,80,5,3
82,81,4,1
83,82,5,2
84,83,3,1
85,84,5,4
86,85,4,2
87,86,5,3
88,87,2,1
89,88,6,3
90,89,5,1
91,90,6,2
92,91,4,1
93,92,6,4
94,93,5,2
95,94,6,3
96,95,3,1
97,96,5,3
98,97,4,1
99,98,5,2
100,99,6,1
