Value,BST Depth (Shuffled),AVL Depth (Shuffled),Splay Depth (Shuffled)
1,3,5,6
2,6,6,3
3,5,4,5
4,6,6,2
5,4,5,3
6,7,6,1
7,6,3,2
8,8,6,1
9,7,5,4
10,9,7,2
11,8,6,2
12,5,4,2
13,7,6,2
14,8,5,1
15,6,6,5
16,2,2,3
17,5,5,1
18,6,4,2
19,7,5,1
20,4,3,6
21,6,5,3
22,5,4,2
23,8,6,1
24,7,5,3
25,6,6,2
26,3,1,2
27,5,6,1
28,6,5,1
29,4,4,2
30,5,6,1
31,1,5,5
32,5,6,3
33,4,3,2
34,5,6,1
35,8,5,3
36,11,6,2
37,10,4,2
38,11,6,1
39,9,5,4
40,7,2,2
41,10,6,2
42,9,5,3
43,8,4,2
44,9,6,1
45,6,5,4
46,3,3,3
47,6,6,1
48,5,5,3
49,7,4,1
50,6,7,2
51,7,6,1
52,8,7,2
53,4,5,4
54,2,6,6
55,0,0,4
56,3,5,2
57,7,6,3
58,6,4,1
59,5,5,3
60,6,6,1
61,4,3,5
62,6,5,2
63,5,4,3
64,7,5,1
65,6,2,2
66,8,5,1
67,9,4,2
68,7,5,2
69,10,6,1
70,9,3,4
71,11,6,2
72,10,5,4
73,8,4,3
74,10,6,1
75,9,5,3
76,2,1,5
77,4,6,4
78,6,5,2
79,7,6,2
80,8,7,2
81,5,4,1
82,8,6,4
83,9,5,2
84,7,6,4
85,6,3,4
86,8,5,2
87,7,4,3
88,8,6,1
89,3,5,3
90,1,2,4
91,3,5,2
92,5,4,2
93,6,6,1
94,7,5,1
95,4,6,3
96,2,3,4
97,4,5,2
98,3,4,2
99,4,5,1
100,5,6,1
