Movie Title,BST Depth,AVL Depth,Splay Depth
The Shawshank Redemption,0,6,14
The Godfather,1,2,9
The Dark Knight,2,5,12
The Godfather: Part II,2,9,5
12 Angry Men,3,7,13
The Lord of the Rings: The Return of the King,3,4,13
Pulp Fiction,4,1,18
Schindler's List,5,7,10
Inception,5,8,15
Fight Club,6,7,10
The Lord of the Rings: The Fellowship of the Ring,4,10,9
Forrest Gump,7,2,13
Il buono, il brutto, il cattiv,8,0,13
The Lord of the Rings: The Two Towers,4,10,8
The Matrix,5,6,10
Goodfellas,9,5,19
Star Wars: Episode V - The Empire Strikes Back,6,5,18
One Flew Over the Cuckoo's Nest,6,7,13
Hamilton,10,3,9
Gisaengchung,10,8,6
Soorarai Pottru,7,3,17
Interstellar,7,5,12
Cidade de Deus,7,1,15
Sen to Chihiro no kamikakushi,8,8,7
Saving Private Ryan,6,4,11
The Green Mile,5,6,14
La vita è bella,8,2,15
Se7en,9,10,7
The Silence of the Lambs,1,8,12
Star Wars,8,10,10
Seppuku,9,10,9
Shichinin no samurai,10,7,12
It's a Wonderful Life,9,6,15
Joker,10,4,10
Whiplash,2,7,12
The Intouchables,6,8,14
The Prestige,6,9,16
The Departed,3,7,14
The Pianist,7,5,9
Gladiator,11,4,14
American History X,8,4,14
The Usual Suspects,3,7,15
Léon,9,5,23
The Lion King,7,7,16
Terminator 2: Judgment Day,7,9,8
Nuovo Cinema Paradiso,10,4,19
Hotaru no haka,11,5,13
Back to the Future,9,5,14
Once Upon a Time in the West,11,9,12
Psycho,7,10,8
Casablanca,10,7,15
Modern Times,11,6,15
City Lights,8,10,10
Capharnaüm,11,4,8
Ayla: The Daughter of War,10,8,10
Vikram Vedha,4,10,22
Kimi no na wa.,11,3,22
Dangal,9,5,17
Spider-Man: Into the Spider-Verse,9,6,16
Avengers: Endgame,11,9,10
Avengers: Infinity War,12,2,5
Coco,10,7,10
Django Unchained,10,5,17
The Dark Knight Rises,4,9,12
3 Idiots,9,5,13
Taare Zameen Par,8,7,11
WALL·E,5,5,9
The Lives of Others,8,8,12
Oldeuboi,12,7,14
Memento,12,3,10
Mononoke-hime,12,8,8
Once Upon a Time in America,13,6,9
Raiders of the Lost Ark,7,6,10
The Shining,2,9,13
Apocalypse Now,12,7,16
Alien,10,9,12
Anand,13,6,8
Tengoku to jigoku,9,4,11
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,11,3,21
Witness for the Prosecution,3,6,12
Paths of Glory,8,10,17
Rear Window,8,5,11
Sunset Blvd.,9,6,13
The Great Dictator,6,8,15
1917,10,6,13
Tumbbad,5,4,16
Andhadhun,14,5,11
Drishyam,12,9,14
Jagten,11,7,17
Jodaeiye Nader az Simin,12,8,7
Incendies,9,9,12
Miracle in cell NO.7,13,7,13
Babam ve Oglum,11,6,20
Inglourious Basterds,8,7,11
Eternal Sunshine of the Spotless Mind,13,4,10
Amélie,14,8,8
Snatch,11,7,20
Requiem for a Dream,9,10,17
American Beauty,11,8,11
Good Will Hunting,12,8,16
Bacheha-Ye aseman,12,8,10
Toy Story,6,6,19
Braveheart,12,8,17
Reservoir Dogs,10,7,11
Full Metal Jacket,11,8,11
Idi i smotri,12,7,11
Aliens,12,8,11
Amadeus,13,8,8
Scarface,7,9,12
Star Wars: Episode VI - Return of the Jedi,10,9,8
Das Boot,11,9,21
Taxi Driver,10,9,7
The Sting,4,7,10
A Clockwork Orange,11,4,13
2001: A Space Odyssey,11,8,4
Per qualche dollaro in più,9,7,21
Lawrence of Arabia,10,6,22
The Apartment,8,8,17
North by Northwest,13,8,17
Vertigo,6,8,13
Singin' in the Rain,12,7,15
Ikiru,13,8,9
Ladri di biciclette,11,8,11
Double Indemnity,12,7,11
Citizen Kane,9,8,11
M - Eine Stadt sucht einen Mörder,13,10,12
Metropolis,14,10,6
The Kid,8,8,18
Chhichhore,11,8,16
Uri: The Surgical Strike,7,6,12
K.G.F: Chapter 1,12,6,19
Green Book,11,7,15
Three Billboards Outside Ebbing, Missour,7,5,18
Talvar,11,8,14
Baahubali 2: The Conclusion,12,8,16
Klaus,12,6,18
Drishyam,12,9,8
Queen,8,7,17
Mandariinid,14,6,16
Bhaag Milkha Bhaag,13,5,16
Gangs of Wasseypur,12,5,15
Udaan,8,8,11
Paan Singh Tomar,9,9,16
El secreto de sus ojos,14,5,10
Warrior,6,8,14
Shutter Island,13,5,14
Up,9,10,8
The Wolf of Wall Street,8,6,11
Chak De! India,12,6,14
There Will Be Blood,9,7,8
Pan's Labyrinth,10,5,13
Toy Story 3,7,8,12
V for Vendetta,8,10,6
Rang De Basanti,9,7,16
Black,14,6,11
Batman Begins,14,4,7
Swades: We, the Peopl,10,9,13
Der Untergang,12,4,18
Hauru no ugoku shiro,12,8,21
A Beautiful Mind,12,8,12
Hera Pheri,13,7,14
Lock, Stock and Two Smoking Barrel,11,7,16
L.A. Confidential,13,4,13
Eskiya,15,8,9
Heat,14,4,5
Casino,13,8,13
Andaz Apna Apna,15,7,10
Unforgiven,10,9,16
Indiana Jones and the Last Crusade,9,9,14
Dom za vesanje,13,6,13
Tonari no Totoro,8,8,11
Die Hard,13,8,7
Ran,10,8,11
Raging Bull,9,8,9
Stalker,10,7,20
Höstsonaten,13,6,15
The Message,8,9,17
