Movie Title,Find Attempt,Splay Depth
The Shawshank Redemption,1,14
The Shawshank Redemption,2,0
The Shawshank Redemption,3,0
The Shawshank Redemption,4,0
The Shawshank Redemption,5,0
The Godfather,1,9
The Godfather,2,0
The Godfather,3,0
The Godfather,4,0
The Godfather,5,0
The Dark Knight,1,12
The Dark Knight,2,0
The Dark Knight,3,0
The Dark Knight,4,0
The Dark Knight,5,0
The Godfather: Part II,1,5
The Godfather: Part II,2,0
The Godfather: Part II,3,0
The Godfather: Part II,4,0
The Godfather: Part II,5,0
12 Angry Men,1,13
12 Angry Men,2,0
12 Angry Men,3,0
12 Angry Men,4,0
12 Angry Men,5,0
The Lord of the Rings: The Return of the King,1,13
The Lord of the Rings: The Return of the King,2,0
The Lord of the Rings: The Return of the King,3,0
The Lord of the Rings: The Return of the King,4,0
The Lord of the Rings: The Return of the King,5,0
Pulp Fiction,1,18
Pulp Fiction,2,0
Pulp Fiction,3,0
Pulp Fiction,4,0
Pulp Fiction,5,0
Schindler's List,1,10
Schindler's List,2,0
Schindler's List,3,0
Schindler's List,4,0
Schindler's List,5,0
Inception,1,15
Inception,2,0
Inception,3,0
Inception,4,0
Inception,5,0
Fight Club,1,10
Fight Club,2,0
Fight Club,3,0
Fight Club,4,0
Fight Club,5,0
The Lord of the Rings: The Fellowship of the Ring,1,9
The Lord of the Rings: The Fellowship of the Ring,2,0
The Lord of the Rings: The Fellowship of the Ring,3,0
The Lord of the Rings: The Fellowship of the Ring,4,0
The Lord of the Rings: The Fellowship of the Ring,5,0
Forrest Gump,1,13
Forrest Gump,2,0
Forrest Gump,3,0
Forrest Gump,4,0
Forrest Gump,5,0
Il buono, il brutto, il cattiv,1,13
Il buono, il brutto, il cattiv,2,0
Il buono, il brutto, il cattiv,3,0
Il buono, il brutto, il cattiv,4,0
Il buono, il brutto, il cattiv,5,0
The Lord of the Rings: The Two Towers,1,8
The Lord of the Rings: The Two Towers,2,0
The Lord of the Rings: The Two Towers,3,0
The Lord of the Rings: The Two Towers,4,0
The Lord of the Rings: The Two Towers,5,0
The Matrix,1,10
The Matrix,2,0
The Matrix,3,0
The Matrix,4,0
The Matrix,5,0
Goodfellas,1,19
Goodfellas,2,0
Goodfellas,3,0
Goodfellas,4,0
Goodfellas,5,0
Star Wars: Episode V - The Empire Strikes Back,1,18
Star Wars: Episode V - The Empire Strikes Back,2,0
Star Wars: Episode V - The Empire Strikes Back,3,0
Star Wars: Episode V - The Empire Strikes Back,4,0
Star Wars: Episode V - The Empire Strikes Back,5,0
One Flew Over the Cuckoo's Nest,1,13
One Flew Over the Cuckoo's Nest,2,0
One Flew Over the Cuckoo's Nest,3,0
One Flew Over the Cuckoo's Nest,4,0
One Flew Over the Cuckoo's Nest,5,0
Hamilton,1,9
Hamilton,2,0
Hamilton,3,0
Hamilton,4,0
Hamilton,5,0
Gisaengchung,1,6
Gisaengchung,2,0
Gisaengchung,3,0
Gisaengchung,4,0
Gisaengchung,5,0
Soorarai Pottru,1,17
Soorarai Pottru,2,0
Soorarai Pottru,3,0
Soorarai Pottru,4,0
Soorarai Pottru,5,0
Interstellar,1,12
Interstellar,2,0
Interstellar,3,0
Interstellar,4,0
Interstellar,5,0
Cidade de Deus,1,15
Cidade de Deus,2,0
Cidade de Deus,3,0
Cidade de Deus,4,0
Cidade de Deus,5,0
Sen to Chihiro no kamikakushi,1,7
Sen to Chihiro no kamikakushi,2,0
Sen to Chihiro no kamikakushi,3,0
Sen to Chihiro no kamikakushi,4,0
Sen to Chihiro no kamikakushi,5,0
Saving Private Ryan,1,11
Saving Private Ryan,2,0
Saving Private Ryan,3,0
Saving Private Ryan,4,0
Saving Private Ryan,5,0
The Green Mile,1,14
The Green Mile,2,0
The Green Mile,3,0
The Green Mile,4,0
The Green Mile,5,0
La vita è bella,1,15
La vita è bella,2,0
La vita è bella,3,0
La vita è bella,4,0
La vita è bella,5,0
Se7en,1,7
Se7en,2,0
Se7en,3,0
Se7en,4,0
Se7en,5,0
The Silence of the Lambs,1,12
The Silence of the Lambs,2,0
The Silence of the Lambs,3,0
The Silence of the Lambs,4,0
The Silence of the Lambs,5,0
Star Wars,1,10
Star Wars,2,0
Star Wars,3,0
Star Wars,4,0
Star Wars,5,0
Seppuku,1,9
Seppuku,2,0
Seppuku,3,0
Seppuku,4,0
Seppuku,5,0
Shichinin no samurai,1,12
Shichinin no samurai,2,0
Shichinin no samurai,3,0
Shichinin no samurai,4,0
Shichinin no samurai,5,0
It's a Wonderful Life,1,15
It's a Wonderful Life,2,0
It's a Wonderful Life,3,0
It's a Wonderful Life,4,0
It's a Wonderful Life,5,0
Joker,1,10
Joker,2,0
Joker,3,0
Joker,4,0
Joker,5,0
Whiplash,1,12
Whiplash,2,0
Whiplash,3,0
Whiplash,4,0
Whiplash,5,0
The Intouchables,1,14
The Intouchables,2,0
The Intouchables,3,0
The Intouchables,4,0
The Intouchables,5,0
The Prestige,1,16
The Prestige,2,0
The Prestige,3,0
The Prestige,4,0
The Prestige,5,0
The Departed,1,14
The Departed,2,0
The Departed,3,0
The Departed,4,0
The Departed,5,0
The Pianist,1,9
The Pianist,2,0
The Pianist,3,0
The Pianist,4,0
The Pianist,5,0
Gladiator,1,14
Gladiator,2,0
Gladiator,3,0
Gladiator,4,0
Gladiator,5,0
American History X,1,14
American History X,2,0
American History X,3,0
American History X,4,0
American History X,5,0
The Usual Suspects,1,15
The Usual Suspects,2,0
The Usual Suspects,3,0
The Usual Suspects,4,0
The Usual Suspects,5,0
Léon,1,23
Léon,2,0
Léon,3,0
Léon,4,0
Léon,5,0
The Lion King,1,16
The Lion King,2,0
The Lion King,3,0
The Lion King,4,0
The Lion King,5,0
Terminator 2: Judgment Day,1,8
Terminator 2: Judgment Day,2,0
Terminator 2: Judgment Day,3,0
Terminator 2: Judgment Day,4,0
Terminator 2: Judgment Day,5,0
Nuovo Cinema Paradiso,1,19
Nuovo Cinema Paradiso,2,0
Nuovo Cinema Paradiso,3,0
Nuovo Cinema Paradiso,4,0
Nuovo Cinema Paradiso,5,0
Hotaru no haka,1,13
Hotaru no haka,2,0
Hotaru no haka,3,0
Hotaru no haka,4,0
Hotaru no haka,5,0
Back to the Future,1,14
Back to the Future,2,0
Back to the Future,3,0
Back to the Future,4,0
Back to the Future,5,0
Once Upon a Time in the West,1,12
Once Upon a Time in the West,2,0
Once Upon a Time in the West,3,0
Once Upon a Time in the West,4,0
Once Upon a Time in the West,5,0
Psycho,1,8
Psycho,2,0
Psycho,3,0
Psycho,4,0
Psycho,5,0
Casablanca,1,15
Casablanca,2,0
Casablanca,3,0
Casablanca,4,0
Casablanca,5,0
Modern Times,1,15
Modern Times,2,0
Modern Times,3,0
Modern Times,4,0
Modern Times,5,0
City Lights,1,10
City Lights,2,0
City Lights,3,0
City Lights,4,0
City Lights,5,0
Capharnaüm,1,8
Capharnaüm,2,0
Capharnaüm,3,0
Capharnaüm,4,0
Capharnaüm,5,0
Ayla: The Daughter of War,1,10
Ayla: The Daughter of War,2,0
Ayla: The Daughter of War,3,0
Ayla: The Daughter of War,4,0
Ayla: The Daughter of War,5,0
Vikram Vedha,1,22
Vikram Vedha,2,0
Vikram Vedha,3,0
Vikram Vedha,4,0
Vikram Vedha,5,0
